|user|ms-1|ms-2|ms-3|ms-4|ms-5|ms-6|ms-7|ms-8|ms-9
513|(41.524398, -87.437335)|{'distance': 1447.55, 'position': (41.525417, -87.42)}|{'distance': 986.23, 'position': (41.524553, -87.42549000000001)}||{'distance': 50909.19, 'position': (41.484387999999996, -88.046339)}|{'distance': 21.68, 'position': (41.52447, -87.437577)}|{'distance': 48114.82, 'position': (41.494648, -88.01379999999999)}|{'distance': 1776.17, 'position': (41.525433, -87.416044)}|{'distance': 49858.87, 'position': (41.486090999999995, -88.033884)}|{'distance': 2185.81, 'position': (41.525491, -87.411119)}
514|(41.524395000000005, -87.43755499999999)|{'distance': 1449.22, 'position': (41.525386, -87.420197)}|{'distance': 987.39, 'position': (41.524546, -87.425696)}||{'distance': 50890.91, 'position': (41.484387999999996, -88.046339)}|{'distance': 17.9, 'position': (41.524466000000004, -87.437748)}|{'distance': 48089.68, 'position': (41.494786999999995, -88.013731)}|{'distance': 1786.91, 'position': (41.525433, -87.416135)}|{'distance': 49823.99, 'position': (41.486084, -88.033683)}|{'distance': 2188.47, 'position': (41.525487999999996, -87.411307)}
515|(41.524393, -87.437775)|{'distance': 1451.07, 'position': (41.52535700000001, -87.42039199999999)}|{'distance': 988.38, 'position': (41.524542000000004, -87.42590399999999)}||{'distance': 50872.1, 'position': (41.484399999999994, -88.046334)}|{'distance': 14.97, 'position': (41.524465, -87.437927)}|{'distance': 48064.71, 'position': (41.49492599999999, -88.013664)}|{'distance': 1797.38, 'position': (41.525432, -87.416229)}|{'distance': 49789.1, 'position': (41.486078, -88.033482)}|{'distance': 2190.88, 'position': (41.525484999999996, -87.411498)}
516|(41.524390000000004, -87.437996)|{'distance': 1453.02, 'position': (41.525328, -87.420587)}|{'distance': 989.55, 'position': (41.524537, -87.426111)}||{'distance': 50857.98, 'position': (41.484334, -88.04637699999999)}|{'distance': 11.9, 'position': (41.524461, -87.438103)}|{'distance': 48039.59, 'position': (41.495064, -88.01359599999999)}|{'distance': 1807.69, 'position': (41.52543, -87.41632600000001)}|{'distance': 49753.96, 'position': (41.486071, -88.03327900000001)}|{'distance': 2193.38, 'position': (41.525484, -87.41168900000001)}
517|(41.524387, -87.438215)|{'distance': 1437.67, 'position': (41.525273999999996, -87.420986)}|{'distance': 990.38, 'position': (41.524536, -87.42631999999999)}||{'distance': 50831.76, 'position': (41.484364, -88.046284)}|{'distance': 21.44, 'position': (41.524454999999996, -87.438456)}|{'distance': 48014.82, 'position': (41.495200000000004, -88.01352999999999)}|{'distance': 1817.76, 'position': (41.52543, -87.416424)}|{'distance': 49718.98, 'position': (41.486064999999996, -88.033076)}|{'distance': 2179.76, 'position': (41.525482000000004, -87.41207200000001)}
518|(41.524385, -87.438436)|{'distance': 1439.23, 'position': (41.525247, -87.42118599999999)}|{'distance': 991.3, 'position': (41.524533, -87.42653)}||{'distance': 50812.03, 'position': (41.484345000000005, -88.046265)}|{'distance': 17.89, 'position': (41.524451, -87.438632)}|{'distance': 47989.81, 'position': (41.495335999999995, -88.01346299999999)}|{'distance': 1827.75, 'position': (41.52543, -87.41652500000001)}|{'distance': 49683.84, 'position': (41.486059999999995, -88.032873)}|{'distance': 2182.26, 'position': (41.525481, -87.412263)}
519|(41.524381999999996, -87.438656)|{'distance': 1442.41, 'position': (41.525213, -87.42136500000001)}|{'distance': 992.13, 'position': (41.524530000000006, -87.42674000000001)}||{'distance': 50792.45, 'position': (41.484326, -88.04624700000001)}|{'distance': 15.74, 'position': (41.524454999999996, -87.438818)}|{'distance': 47965.13, 'position': (41.495470999999995, -88.013399)}|{'distance': 1837.48, 'position': (41.525429, -87.416628)}|{'distance': 49648.77, 'position': (41.486054, -88.03267)}|{'distance': 2184.23, 'position': (41.525487999999996, -87.41246)}
520|(41.524381000000005, -87.43887500000001)|{'distance': 1444.26, 'position': (41.525179, -87.421559)}|{'distance': 992.54, 'position': (41.524528000000004, -87.42695400000001)}||{'distance': 50772.9, 'position': (41.484306, -88.04622799999999)}|{'distance': 13.33, 'position': (41.524454, -87.439002)}|{'distance': 47940.48, 'position': (41.495605999999995, -88.013334)}|{'distance': 1846.87, 'position': (41.525428000000005, -87.41673399999999)}|{'distance': 49613.67, 'position': (41.486045999999995, -88.03246499999999)}|{'distance': 2186.07, 'position': (41.525489, -87.412657)}
521|(41.524378, -87.439098)|{'distance': 1446.91, 'position': (41.525150999999994, -87.42174800000001)}|{'distance': 992.88, 'position': (41.524525999999994, -87.427173)}||{'distance': 50752.28, 'position': (41.484291999999996, -88.046201)}|{'distance': 10.63, 'position': (41.524449999999995, -87.439182)}|{'distance': 47915.49, 'position': (41.495739, -88.013269)}|{'distance': 1856.36, 'position': (41.525428000000005, -87.41684300000001)}|{'distance': 49578.12, 'position': (41.486039, -88.032259)}|{'distance': 2188.64, 'position': (41.525484, -87.41284900000001)}
522|(41.524373, -87.439316)|{'distance': 1449.07, 'position': (41.525119999999994, -87.421938)}|{'distance': 993.13, 'position': (41.524523, -87.427388)}||{'distance': 50732.6, 'position': (41.484273, -88.04618)}|{'distance': 8.84, 'position': (41.524446, -87.439358)}|{'distance': 47891.01, 'position': (41.495870999999994, -88.013205)}|{'distance': 1865.37, 'position': (41.525428000000005, -87.41695299999999)}|{'distance': 49542.81, 'position': (41.486031000000004, -88.032051)}|{'distance': 2190.71, 'position': (41.525478, -87.413042)}
523|(41.524367000000005, -87.43953400000001)|{'distance': 1451.17, 'position': (41.525091, -87.422129)}|{'distance': 993.56, 'position': (41.524522, -87.427601)}||{'distance': 50712.97, 'position': (41.484255999999995, -88.04616)}|{'distance': 8.45, 'position': (41.524443, -87.43953499999999)}|{'distance': 47866.45, 'position': (41.496001, -88.01314)}|{'distance': 1874.3, 'position': (41.525428000000005, -87.417064)}|{'distance': 49507.42, 'position': (41.486022000000006, -88.031842)}|{'distance': 2192.56, 'position': (41.525475, -87.413238)}
524|(41.524359000000004, -87.43974899999999)|{'distance': 1452.71, 'position': (41.525062, -87.422324)}|{'distance': 994.23, 'position': (41.524519, -87.427808)}||{'distance': 50694.13, 'position': (41.484307, -88.046155)}|{'distance': 8.23, 'position': (41.524426000000005, -87.439707)}|{'distance': 47842.16, 'position': (41.496126999999994, -88.01307500000001)}|{'distance': 1882.91, 'position': (41.525427, -87.417176)}|{'distance': 49472.18, 'position': (41.486012, -88.031632)}|{'distance': 2194.24, 'position': (41.525470999999996, -87.413433)}
525|(41.524349, -87.439964)|{'distance': 1454.34, 'position': (41.525033, -87.422518)}|{'distance': 994.91, 'position': (41.524516000000006, -87.428015)}||{'distance': 50678.49, 'position': (41.484425, -88.04619699999999)}|{'distance': 10.16, 'position': (41.524416, -87.439881)}|{'distance': 47817.47, 'position': (41.496251, -88.01300499999999)}|{'distance': 1891.54, 'position': (41.525427, -87.41728800000001)}|{'distance': 49436.92, 'position': (41.486003000000004, -88.031422)}|{'distance': 2195.45, 'position': (41.525467, -87.413634)}
526|(41.524336000000005, -87.440181)|{'distance': 1456.06, 'position': (41.525, -87.422713)}|{'distance': 995.85, 'position': (41.524511000000004, -87.428221)}||{'distance': 50662.23, 'position': (41.484462, -88.046224)}|{'distance': 12.01, 'position': (41.524390000000004, -87.440056)}|{'distance': 47792.34, 'position': (41.496373999999996, -88.012932)}|{'distance': 1900.42, 'position': (41.525425, -87.417399)}|{'distance': 49401.32, 'position': (41.485991999999996, -88.03120999999999)}|{'distance': 2196.83, 'position': (41.525463, -87.413835)}
527|(41.524318, -87.440403)|{'distance': 1457.9, 'position': (41.52497, -87.422912)}|{'distance': 996.96, 'position': (41.524506, -87.42843)}||{'distance': 50643.38, 'position': (41.484497000000005, -88.04622499999999)}|{'distance': 13.57, 'position': (41.524359999999994, -87.44024999999999)}|{'distance': 47766.84, 'position': (41.496499, -88.01286)}|{'distance': 1909.76, 'position': (41.525424, -87.41751000000001)}|{'distance': 49365.16, 'position': (41.48598200000001, -88.03099700000001)}|{'distance': 2198.67, 'position': (41.525459, -87.414036)}
528|(41.524288, -87.440613)|{'distance': 1458.9, 'position': (41.524939999999994, -87.42311)}|{'distance': 996.93, 'position': (41.524499999999996, -87.42864100000001)}||{'distance': 50621.52, 'position': (41.484563, -88.046183)}|{'distance': 15.93, 'position': (41.52433, -87.44042999999999)}|{'distance': 47741.61, 'position': (41.496623, -88.01278)}|{'distance': 1918.28, 'position': (41.525422, -87.41762)}|{'distance': 49329.8, 'position': (41.485973, -88.03078299999999)}|{'distance': 2199.42, 'position': (41.525455, -87.414239)}
529|(41.524259, -87.440836)|{'distance': 1463.1, 'position': (41.524888000000004, -87.423281)}|{'distance': 998.44, 'position': (41.524503, -87.428847)}||{'distance': 50601.56, 'position': (41.484598999999996, -88.046173)}|{'distance': 19.89, 'position': (41.524295, -87.440602)}|{'distance': 47714.66, 'position': (41.496744, -88.012692)}|{'distance': 1918.8, 'position': (41.525419, -87.417839)}|{'distance': 49293.28, 'position': (41.48596499999999, -88.030568)}|{'distance': 2201.34, 'position': (41.525451999999994, -87.41444100000001)}
530|(41.524170999999996, -87.440962)|{'distance': 1457.19, 'position': (41.524858, -87.423482)}|{'distance': 991.41, 'position': (41.524498, -87.429061)}||{'distance': 50589.56, 'position': (41.484622, -88.04616700000001)}|{'distance': 18.28, 'position': (41.524255999999994, -87.440774)}|{'distance': 47695.04, 'position': (41.496866, -88.0126)}|{'distance': 1920.64, 'position': (41.525418, -87.41795099999999)}|{'distance': 49264.27, 'position': (41.485955999999995, -88.03035299999999)}|{'distance': 2195.86, 'position': (41.525449, -87.41464)}
531|(41.524120999999994, -87.441158)|{'distance': 1440.09, 'position': (41.524798000000004, -87.423883)}|{'distance': 990.56, 'position': (41.524501, -87.42927)}||{'distance': 50572.5, 'position': (41.484638999999994, -88.046165)}|{'distance': 21.14, 'position': (41.524212, -87.44093500000001)}|{'distance': 47669.36, 'position': (41.496989000000006, -88.012502)}|{'distance': 1928.21, 'position': (41.525411000000005, -87.41806000000001)}|{'distance': 49229.88, 'position': (41.485946999999996, -88.030139)}|{'distance': 2179.48, 'position': (41.525441, -87.415037)}
532|(41.524071000000006, -87.44135299999999)|{'distance': 1439.62, 'position': (41.524766, -87.42408499999999)}|{'distance': 989.39, 'position': (41.524498, -87.42948200000001)}||{'distance': 50555.74, 'position': (41.48465100000001, -88.046165)}|{'distance': 24.11, 'position': (41.524168, -87.44109399999999)}|{'distance': 47643.43, 'position': (41.497113, -88.0124)}|{'distance': 1937.21, 'position': (41.525414, -87.41815199999999)}|{'distance': 49195.91, 'position': (41.485938, -88.029929)}|{'distance': 2179.32, 'position': (41.525436, -87.415238)}
533|(41.524021000000005, -87.441548)|{'distance': 1438.43, 'position': (41.524739, -87.424296)}|{'distance': 988.23, 'position': (41.524494000000004, -87.429694)}||{'distance': 50538.6, 'position': (41.484668, -88.046161)}|{'distance': 27.17, 'position': (41.524124, -87.441252)}|{'distance': 47617.18, 'position': (41.497236, -88.012294)}|{'distance': 1945.5, 'position': (41.525411000000005, -87.418252)}|{'distance': 49162.28, 'position': (41.485928, -88.02972299999999)}|{'distance': 2180.56, 'position': (41.525438, -87.41542299999999)}
534|(41.523889, -87.44166)|{'distance': 1431.31, 'position': (41.524712, -87.42450199999999)}|{'distance': 982.12, 'position': (41.52448999999999, -87.42989)}||{'distance': 50528.09, 'position': (41.484685, -88.04616299999999)}|{'distance': 29.68, 'position': (41.524080000000005, -87.441411)}|{'distance': 47596.88, 'position': (41.49736, -88.01218300000001)}|{'distance': 1947.47, 'position': (41.525411000000005, -87.41835499999999)}|{'distance': 49135.02, 'position': (41.485919, -88.02951999999999)}|{'distance': 2175.08, 'position': (41.525433, -87.415614)}
535|(41.523807, -87.44183199999999)|{'distance': 1428.85, 'position': (41.52469, -87.42470900000001)}|{'distance': 980.79, 'position': (41.524499999999996, -87.430087)}||{'distance': 50512.59, 'position': (41.484699, -88.046159)}|{'distance': 33.99, 'position': (41.524037, -87.441563)}|{'distance': 47571.6, 'position': (41.49748400000001, -88.012068)}|{'distance': 1954.01, 'position': (41.525411000000005, -87.41845799999999)}|{'distance': 49103.41, 'position': (41.485910000000004, -88.029319)}|{'distance': 2173.21, 'position': (41.525429, -87.415817)}
536|(41.523725000000006, -87.44200699999999)|{'distance': 1427.03, 'position': (41.524671, -87.424912)}|{'distance': 979.49, 'position': (41.524501, -87.430287)}||{'distance': 50496.03, 'position': (41.484719999999996, -88.04614600000001)}|{'distance': 34.96, 'position': (41.523951, -87.441715)}|{'distance': 47546.03, 'position': (41.497603, -88.01195200000001)}|{'distance': 1961.72, 'position': (41.525408999999996, -87.41855)}|{'distance': 49071.64, 'position': (41.485901000000005, -88.029119)}|{'distance': 2172.33, 'position': (41.525420999999994, -87.416011)}
537|(41.523639, -87.442178)|{'distance': 1424.44, 'position': (41.524651999999996, -87.425121)}|{'distance': 978.15, 'position': (41.524502000000005, -87.430485)}||{'distance': 50479.56, 'position': (41.484736999999996, -88.04612999999999)}|{'distance': 38.69, 'position': (41.523887, -87.441852)}|{'distance': 47520.39, 'position': (41.497718000000006, -88.011831)}|{'distance': 1970.12, 'position': (41.52541, -87.418631)}|{'distance': 49040.16, 'position': (41.48589200000001, -88.028919)}|{'distance': 2171.22, 'position': (41.525415, -87.416205)}
538|(41.523556, -87.44235)|{'distance': 1421.82, 'position': (41.524637000000006, -87.425332)}|{'distance': 976.87, 'position': (41.524502000000005, -87.430684)}||{'distance': 50463.21, 'position': (41.484753, -88.046116)}|{'distance': 41.3, 'position': (41.523817, -87.44199699999999)}|{'distance': 47494.3, 'position': (41.497831, -88.011705)}|{'distance': 1979.24, 'position': (41.525408, -87.41870399999999)}|{'distance': 49008.62, 'position': (41.485884, -88.028719)}|{'distance': 2170.46, 'position': (41.525411000000005, -87.416396)}
539|(41.523475, -87.44252399999999)|{'distance': 1419.4, 'position': (41.524622, -87.425543)}|{'distance': 975.72, 'position': (41.524501, -87.430884)}||{'distance': 50445.57, 'position': (41.484776000000004, -88.046089)}|{'distance': 44.6, 'position': (41.523746, -87.44212900000001)}|{'distance': 47467.83, 'position': (41.49794, -88.011576)}|{'distance': 1989.02, 'position': (41.525405, -87.41877099999999)}|{'distance': 48976.84, 'position': (41.485876, -88.028518)}|{'distance': 2169.96, 'position': (41.525406000000004, -87.41658600000001)}
540|(41.523402, -87.44270200000001)|{'distance': 1417.02, 'position': (41.524608, -87.42575699999999)}|{'distance': 974.67, 'position': (41.524498, -87.431086)}||{'distance': 50428.12, 'position': (41.484795999999996, -88.04606700000001)}|{'distance': 47.1, 'position': (41.523679, -87.442274)}|{'distance': 47440.77, 'position': (41.498048, -88.011443)}|{'distance': 1999.55, 'position': (41.52540200000001, -87.41883200000001)}|{'distance': 48944.73, 'position': (41.485868, -88.02831599999999)}|{'distance': 2169.65, 'position': (41.52540200000001, -87.416777)}
541|(41.52333899999999, -87.442889)|{'distance': 1415.32, 'position': (41.524595, -87.425971)}|{'distance': 974.47, 'position': (41.524496, -87.431286)}||{'distance': 50411.39, 'position': (41.484809999999996, -88.04606100000001)}|{'distance': 49.52, 'position': (41.52361, -87.442417)}|{'distance': 47412.39, 'position': (41.498153, -88.011302)}|{'distance': 2010.96, 'position': (41.525397999999996, -87.41888999999999)}|{'distance': 48911.88, 'position': (41.48586, -88.02811299999999)}|{'distance': 2170.09, 'position': (41.525397999999996, -87.416967)}
542|(41.523282, -87.44308000000001)|{'distance': 1413.96, 'position': (41.524579, -87.42618399999999)}|{'distance': 974.49, 'position': (41.524494999999995, -87.431487)}||{'distance': 50395.09, 'position': (41.484745000000004, -88.046054)}|{'distance': 52.32, 'position': (41.523544, -87.442558)}|{'distance': 47383.39, 'position': (41.498257, -88.011157)}|{'distance': 2022.9, 'position': (41.525394999999996, -87.41894500000001)}|{'distance': 48878.59, 'position': (41.485851000000004, -88.02790800000001)}|{'distance': 2171.04, 'position': (41.525393, -87.417154)}
543|(41.523227999999996, -87.443274)|{'distance': 1413.21, 'position': (41.524589, -87.42639600000001)}|{'distance': 974.58, 'position': (41.524494000000004, -87.43169)}||{'distance': 50377.16, 'position': (41.484745999999994, -88.04603800000001)}|{'distance': 55.31, 'position': (41.523481000000004, -87.44270200000001)}|{'distance': 47353.92, 'position': (41.498360000000005, -88.011009)}|{'distance': 2035.4, 'position': (41.525393, -87.418996)}|{'distance': 48845.0, 'position': (41.485842000000005, -88.027702)}|{'distance': 2172.31, 'position': (41.525389, -87.41734000000001)}
544|(41.523182, -87.443473)|{'distance': 1412.7, 'position': (41.524575999999996, -87.42660599999999)}|{'distance': 974.96, 'position': (41.524491, -87.431893)}||{'distance': 50359.68, 'position': (41.484743, -88.046031)}|{'distance': 58.58, 'position': (41.523424000000006, -87.442848)}|{'distance': 47323.68, 'position': (41.498461, -88.010856)}|{'distance': 2048.56, 'position': (41.525392000000004, -87.419043)}|{'distance': 48810.9, 'position': (41.485833, -88.027494)}|{'distance': 2173.75, 'position': (41.525386, -87.417528)}
545|(41.523144, -87.44367700000001)|{'distance': 1412.69, 'position': (41.524564, -87.426814)}|{'distance': 975.54, 'position': (41.524488, -87.432097)}||{'distance': 50342.41, 'position': (41.484743, -88.046031)}|{'distance': 61.71, 'position': (41.52337000000001, -87.443)}|{'distance': 47292.76, 'position': (41.498561, -88.010699)}|{'distance': 2062.09, 'position': (41.525389, -87.419089)}|{'distance': 48776.3, 'position': (41.485823, -88.027284)}|{'distance': 2175.6, 'position': (41.525383000000005, -87.417715)}
546|(41.523113, -87.443879)|{'distance': 1412.35, 'position': (41.524552, -87.427023)}|{'distance': 975.86, 'position': (41.524485000000006, -87.43230100000001)}||{'distance': 50325.37, 'position': (41.484743, -88.046031)}|{'distance': 64.21, 'position': (41.523324, -87.443161)}|{'distance': 47261.99, 'position': (41.498658, -88.01054099999999)}|{'distance': 2075.43, 'position': (41.525385, -87.419134)}|{'distance': 48741.76, 'position': (41.485814, -88.027072)}|{'distance': 2177.2, 'position': (41.52538, -87.417902)}
547|(41.523088, -87.44408)|{'distance': 1411.08, 'position': (41.524525000000004, -87.42723900000001)}|{'distance': 976.0, 'position': (41.524482, -87.432505)}||{'distance': 50308.47, 'position': (41.484743, -88.046031)}|{'distance': 66.73, 'position': (41.523283, -87.44332200000001)}|{'distance': 47231.21, 'position': (41.49875, -88.010381)}|{'distance': 2084.97, 'position': (41.525375000000004, -87.419222)}|{'distance': 48707.18, 'position': (41.485806000000004, -88.02685799999999)}|{'distance': 2178.57, 'position': (41.525378, -87.41808999999999)}
548|(41.523068, -87.444276)|{'distance': 1408.36, 'position': (41.524525000000004, -87.42747100000001)}|{'distance': 977.68, 'position': (41.524478, -87.43268400000001)}||{'distance': 50292.02, 'position': (41.484743, -88.046031)}|{'distance': 68.52, 'position': (41.523241, -87.443486)}|{'distance': 47200.74, 'position': (41.498838, -88.01021899999999)}|{'distance': 2097.82, 'position': (41.52537, -87.419265)}|{'distance': 48672.9, 'position': (41.485797000000005, -88.026642)}|{'distance': 2179.16, 'position': (41.52537099999999, -87.41828100000001)}
549|(41.523050000000005, -87.444471)|{'distance': 1406.39, 'position': (41.524515, -87.427691)}|{'distance': 976.72, 'position': (41.524466000000004, -87.432892)}||{'distance': 50275.68, 'position': (41.484743, -88.046031)}|{'distance': 70.09, 'position': (41.523199000000005, -87.443653)}|{'distance': 47170.22, 'position': (41.498923000000005, -88.010055)}|{'distance': 2110.57, 'position': (41.525366000000005, -87.419308)}|{'distance': 48638.64, 'position': (41.485788, -88.026425)}|{'distance': 2180.33, 'position': (41.525366999999996, -87.418464)}
550|(41.523061, -87.44469199999999)|{'distance': 1406.43, 'position': (41.524503, -87.427908)}|{'distance': 978.77, 'position': (41.524463, -87.43308499999999)}||{'distance': 50257.44, 'position': (41.484743, -88.046031)}|{'distance': 73.23, 'position': (41.523158, -87.443822)}|{'distance': 47137.56, 'position': (41.499006, -88.009889)}|{'distance': 2125.24, 'position': (41.525361999999994, -87.419349)}|{'distance': 48602.01, 'position': (41.485777, -88.026202)}|{'distance': 2183.1, 'position': (41.525361999999994, -87.418649)}
551|(41.523061, -87.444894)|{'distance': 1407.4, 'position': (41.524565, -87.428108)}|{'distance': 979.92, 'position': (41.524463, -87.43327300000001)}||{'distance': 50240.68, 'position': (41.484743, -88.046031)}|{'distance': 75.04, 'position': (41.523163000000004, -87.444003)}|{'distance': 47106.19, 'position': (41.499086, -88.00972)}|{'distance': 2138.49, 'position': (41.525358, -87.41939)}|{'distance': 48566.86, 'position': (41.485765, -88.025979)}|{'distance': 2184.51, 'position': (41.525356, -87.41883299999999)}
552|(41.523062, -87.445098)|{'distance': 1406.87, 'position': (41.524557, -87.428317)}|{'distance': 981.5, 'position': (41.524465, -87.43345799999999)}||{'distance': 50223.76, 'position': (41.484743, -88.046031)}|{'distance': 77.19, 'position': (41.523142, -87.444177)}|{'distance': 47074.35, 'position': (41.499162, -88.009547)}|{'distance': 2151.99, 'position': (41.525355, -87.41942999999999)}|{'distance': 48531.46, 'position': (41.485755, -88.025755)}|{'distance': 2186.2, 'position': (41.525347000000004, -87.419015)}
553|(41.523064999999995, -87.445302)|{'distance': 1408.19, 'position': (41.524591, -87.42851)}|{'distance': 982.81, 'position': (41.524463, -87.433645)}||{'distance': 50206.86, 'position': (41.484743, -88.046031)}|{'distance': 79.33, 'position': (41.523121, -87.444352)}|{'distance': 47042.12, 'position': (41.499235, -88.009369)}|{'distance': 2165.68, 'position': (41.525330000000004, -87.419464)}|{'distance': 48495.99, 'position': (41.485744999999994, -88.02553)}|{'distance': 2187.92, 'position': (41.525335999999996, -87.419196)}
554|(41.523066, -87.445505)|{'distance': 1408.15, 'position': (41.524589, -87.428713)}|{'distance': 984.19, 'position': (41.524463, -87.433831)}||{'distance': 50190.03, 'position': (41.484743, -88.046031)}|{'distance': 82.24, 'position': (41.523122, -87.44452)}|{'distance': 47009.49, 'position': (41.499306, -88.009185)}|{'distance': 2178.75, 'position': (41.525344, -87.419511)}|{'distance': 48460.77, 'position': (41.485734, -88.025307)}|{'distance': 2189.63, 'position': (41.525321999999996, -87.419376)}
555|(41.523064000000005, -87.445705)|{'distance': 1407.8, 'position': (41.524586, -87.428917)}|{'distance': 985.26, 'position': (41.524461, -87.434018)}||{'distance': 50173.42, 'position': (41.484743, -88.046031)}|{'distance': 83.49, 'position': (41.523137999999996, -87.444707)}|{'distance': 46976.94, 'position': (41.499373, -88.008999)}|{'distance': 2191.88, 'position': (41.525347000000004, -87.419553)}|{'distance': 48425.91, 'position': (41.485725, -88.02508599999999)}|{'distance': 2191.03, 'position': (41.525306, -87.419557)}
556|(41.523062, -87.445906)|{'distance': 1406.73, 'position': (41.524589999999996, -87.42913200000001)}|{'distance': 985.74, 'position': (41.524458, -87.434213)}||{'distance': 50156.72, 'position': (41.484743, -88.046031)}|{'distance': 85.42, 'position': (41.523137999999996, -87.444885)}|{'distance': 46944.33, 'position': (41.499438, -88.00881299999999)}|{'distance': 2205.05, 'position': (41.525347000000004, -87.41959500000002)}|{'distance': 48391.12, 'position': (41.485717, -88.024867)}|{'distance': 2191.73, 'position': (41.525294, -87.419748)}
557|(41.523059, -87.446106)|{'distance': 1406.16, 'position': (41.524582, -87.429338)}|{'distance': 985.84, 'position': (41.524447, -87.43441000000001)}||{'distance': 50140.1, 'position': (41.484743, -88.046031)}|{'distance': 87.0, 'position': (41.523136, -87.44506600000001)}|{'distance': 46911.74, 'position': (41.49949899999999, -88.008626)}|{'distance': 2218.08, 'position': (41.525341, -87.41963700000001)}|{'distance': 48356.6, 'position': (41.485707000000005, -88.02465000000001)}|{'distance': 2192.99, 'position': (41.525273, -87.41993000000001)}
558|(41.523057, -87.446308)|{'distance': 1405.74, 'position': (41.524579, -87.429545)}|{'distance': 987.67, 'position': (41.52446, -87.434593)}||{'distance': 50123.32, 'position': (41.484743, -88.046031)}|{'distance': 88.65, 'position': (41.523133, -87.44524799999999)}|{'distance': 46878.91, 'position': (41.499558, -88.00843800000001)}|{'distance': 2231.19, 'position': (41.525335999999996, -87.41968000000001)}|{'distance': 48321.82, 'position': (41.485698, -88.02443199999999)}|{'distance': 2193.18, 'position': (41.525253, -87.420127)}
559|(41.52305500000001, -87.44651099999999)|{'distance': 1388.34, 'position': (41.524574, -87.429958)}|{'distance': 988.18, 'position': (41.524459, -87.43478999999999)}||{'distance': 50106.46, 'position': (41.484743, -88.046031)}|{'distance': 90.46, 'position': (41.52313, -87.445429)}|{'distance': 46845.7, 'position': (41.499614, -88.008246)}|{'distance': 2244.71, 'position': (41.525330000000004, -87.419719)}|{'distance': 48287.06, 'position': (41.485688, -88.024215)}|{'distance': 2193.95, 'position': (41.525226, -87.420317)}
560|(41.523054, -87.446715)|{'distance': 1388.18, 'position': (41.524573000000004, -87.430164)}|{'distance': 988.64, 'position': (41.524456, -87.43498799999999)}||{'distance': 50089.52, 'position': (41.484743, -88.046031)}|{'distance': 92.35, 'position': (41.523127, -87.44561)}|{'distance': 46811.99, 'position': (41.499669000000004, -88.00804899999999)}|{'distance': 2258.75, 'position': (41.525327, -87.419753)}|{'distance': 48252.04, 'position': (41.485679, -88.02399600000001)}|{'distance': 2194.63, 'position': (41.525199, -87.420509)}
561|(41.523052, -87.446919)|{'distance': 1386.58, 'position': (41.524532, -87.430381)}|{'distance': 989.2, 'position': (41.524453, -87.435185)}||{'distance': 50072.58, 'position': (41.484743, -88.046031)}|{'distance': 94.16, 'position': (41.523123999999996, -87.445792)}|{'distance': 46778.3, 'position': (41.499722, -88.007852)}|{'distance': 2272.95, 'position': (41.525323, -87.41978499999999)}|{'distance': 48217.03, 'position': (41.485669, -88.023777)}|{'distance': 2195.89, 'position': (41.525171, -87.420694)}
562|(41.523049, -87.447124)|{'distance': 1386.38, 'position': (41.524525999999994, -87.430588)}|{'distance': 973.48, 'position': (41.524449000000004, -87.435581)}||{'distance': 50055.54, 'position': (41.484743, -88.046031)}|{'distance': 96.16, 'position': (41.523122, -87.445973)}|{'distance': 46744.6, 'position': (41.499773999999995, -88.00765600000001)}|{'distance': 2287.39, 'position': (41.525316999999994, -87.419815)}|{'distance': 48181.83, 'position': (41.485659999999996, -88.023557)}|{'distance': 2181.56, 'position': (41.525118, -87.421065)}
563|(41.523047, -87.44732900000001)|{'distance': 1392.54, 'position': (41.524489, -87.430713)}|{'distance': 974.61, 'position': (41.524446, -87.435772)}||{'distance': 50038.51, 'position': (41.484743, -88.046031)}|{'distance': 98.06, 'position': (41.523118999999994, -87.446155)}|{'distance': 46711.16, 'position': (41.499826000000006, -88.007463)}|{'distance': 2301.91, 'position': (41.525311, -87.419844)}|{'distance': 48146.74, 'position': (41.48564999999999, -88.02333800000001)}|{'distance': 2181.15, 'position': (41.525088, -87.42127099999999)}
564|(41.523044, -87.447535)|{'distance': 1394.74, 'position': (41.524477, -87.43089099999999)}|{'distance': 974.19, 'position': (41.524433, -87.435981)}||{'distance': 50021.4, 'position': (41.484743, -88.046031)}|{'distance': 100.05, 'position': (41.523116, -87.446337)}|{'distance': 46677.81, 'position': (41.499877, -88.007272)}|{'distance': 2316.71, 'position': (41.525307000000005, -87.419871)}|{'distance': 48111.78, 'position': (41.485642, -88.023122)}|{'distance': 2182.08, 'position': (41.525058, -87.42146199999999)}
565|(41.523045, -87.447742)|{'distance': 1397.84, 'position': (41.524501, -87.431064)}|{'distance': 974.52, 'position': (41.524425, -87.436182)}||{'distance': 50004.23, 'position': (41.484743, -88.046031)}|{'distance': 102.1, 'position': (41.523113, -87.44651900000001)}|{'distance': 46644.48, 'position': (41.499928, -88.007082)}|{'distance': 2332.13, 'position': (41.525303, -87.419891)}|{'distance': 48076.78, 'position': (41.485634, -88.022906)}|{'distance': 2182.91, 'position': (41.525029999999994, -87.42165499999999)}
